Date,Calories
2022-09-17,3.82
2022-09-17,4.618
2022-09-17,1.243
2022-09-17,1.348
2022-09-17,11.071
2022-09-17,0.022
2022-09-17,9.145
2022-09-17,0.468
2022-09-17,0.014
2022-09-17,0.921
2022-09-17,8.453
2022-09-17,11.747
2022-09-17,2.844
2022-09-17,24.4
2022-09-17,0.088
2022-09-17,3.054
2022-09-17,2.559
2022-09-17,2.096
2022-09-17,2.164
2022-09-17,8.191
2022-09-17,12.441
2022-09-17,0.953
2022-09-17,1.843
2022-09-17,0.457
2022-09-17,0.857
2022-09-17,0.508
2022-09-17,0.661
2022-09-17,1.271
2022-09-17,0.789
2022-09-17,0.826
2022-09-17,2.974
2022-09-17,1.154
2022-09-17,1.977
2022-09-17,5.021
2022-09-17,0.021
2022-09-17,0.276
2022-09-17,0.122
2022-09-17,0.037
2022-09-17,1.725
2022-09-17,3.875
2022-09-17,0.075
2022-09-17,0.049
2022-09-17,0.022
2022-09-17,23.18
2022-09-17,3.569
2022-09-17,31.903
2022-09-17,1.767
2022-09-17,2.972
2022-09-17,5.259
2022-09-17,2.125
2022-09-17,0.06
2022-09-17,6.034
2022-09-17,0.003
2022-09-17,2.706
2022-09-17,5.993
2022-09-17,1.359
2022-09-18,3.41
2022-09-18,4.968
2022-09-18,5.178
2022-09-18,0.05
2022-09-18,5.358
2022-09-18,0.55
2022-09-18,0.155
2022-09-18,0.025
2022-09-18,4.101
2022-09-18,0.038
2022-09-18,0.037
2022-09-18,6.052
2022-09-18,0.079
2022-09-18,2.205
2022-09-18,5.105
2022-09-18,9.144
2022-09-18,6.404
2022-09-18,0.469
2022-09-18,4.269
2022-09-18,0.041
2022-09-18,0.122
2022-09-18,0.068
2022-09-18,1.454
2022-09-18,24.332
2022-09-18,0.047
2022-09-18,0.019
2022-09-18,18.46
2022-09-18,25.689
2022-09-18,2.319
2022-09-18,34.649
2022-09-18,0.036
2022-09-18,0.569
2022-09-18,0.011
2022-09-18,0.429
2022-09-18,0.606
2022-09-18,22.869
2022-09-18,37.66
2022-09-18,1.829
2022-09-18,13.309
2022-09-18,3.965
2022-09-18,0.842
2022-09-18,0.028
2022-09-18,0.013
2022-09-18,0.07
2022-09-18,0.632
2022-09-18,0.49
2022-09-18,0.003
2022-09-18,0.012
2022-09-18,0.316
2022-09-18,0.716
2022-09-18,1.511
2022-09-18,0.032
2022-09-18,0.213
2022-09-18,8.415
2022-09-18,0.616
2022-09-18,0.096
2022-09-18,0.412
2022-09-18,0.019
2022-09-18,0.013
2022-09-18,0.038
2022-09-19,2.715
2022-09-19,1.895
2022-09-19,0.026
2022-09-19,0.408
2022-09-19,0.496
2022-09-19,0.364
2022-09-19,0.055
2022-09-19,0.176
2022-09-19,17.972
2022-09-19,11.71
2022-09-19,11.423
2022-09-19,4.531
2022-09-19,4.871
2022-09-19,0.068
2022-09-19,3.596
2022-09-19,3.682
2022-09-19,1.863
2022-09-19,2.829
2022-09-19,7.131
2022-09-19,2.936
2022-09-19,0.267
2022-09-19,5.9
2022-09-19,2.232
2022-09-19,5.966
2022-09-19,1.524
2022-09-19,3.4
2022-09-19,1.12
2022-09-19,1.639
2022-09-19,7.905
2022-09-19,0.045
2022-09-19,0.029
2022-09-19,0.233
2022-09-19,0.008
2022-09-19,4.892
2022-09-19,17.489
2022-09-19,13.936
2022-09-19,32.791
2022-09-19,0.371
2022-09-19,0.273
2022-09-19,0.385
2022-09-19,0.122
2022-09-19,3.764
2022-09-19,12.607
2022-09-19,3.318
2022-09-19,0.059
2022-09-19,33.467
2022-09-19,10.499
2022-09-19,14.796
2022-09-19,4.235
2022-09-19,0.09
2022-09-19,2.309
2022-09-19,0.257
2022-09-19,2.867
2022-09-19,1.427
2022-09-19,1.544
2022-09-19,6.04
2022-09-19,3.927
2022-09-19,0.636
2022-09-19,0.393
2022-09-19,0.062
2022-09-19,0.153
2022-09-19,0.178
2022-09-19,0.095
2022-09-19,0.742
2022-09-20,0.045
2022-09-20,3.778
2022-09-20,0.403
2022-09-20,0.372
2022-09-20,0.194
2022-09-20,16.676
2022-09-20,14.047
2022-09-20,7.459
2022-09-20,9.256
2022-09-20,4.859
2022-09-20,1.579
2022-09-20,0.13
2022-09-20,0.055
2022-09-20,4.797
2022-09-20,5.325
2022-09-20,9.555
2022-09-20,0.184
2022-09-20,0.011
2022-09-20,14.204
2022-09-20,1.147
2022-09-20,1.334
2022-09-20,1.972
2022-09-20,9.722
2022-09-20,0.022
2022-09-20,0.055
2022-09-20,0.059
2022-09-20,4.183
2022-09-20,5.537
2022-09-20,0.273
2022-09-20,15.315
2022-09-20,0.24
2022-09-20,0.057
2022-09-20,1.002
2022-09-20,0.285
2022-09-20,0.391
2022-09-20,0.489
2022-09-20,7.956
2022-09-20,0.331
2022-09-20,0.098
2022-09-20,0.257
2022-09-20,1.004
2022-09-20,0.891
2022-09-20,0.045
2022-09-20,6.266
2022-09-20,3.288
2022-09-20,16.711
2022-09-21,17.52
2022-09-21,2.308
2022-09-21,0.122
2022-09-21,0.072
2022-09-21,0.049
2022-09-21,13.733
2022-09-21,1.514
2022-09-21,4.07
2022-09-21,7.234
2022-09-21,4.991
2022-09-21,0.008
2022-09-21,2.168
2022-09-21,2.002
2022-09-21,0.125
2022-09-21,15.453
2022-09-21,5.926
2022-09-21,4.911
2022-09-21,9.115
2022-09-21,0.024
2022-09-21,6.013
2022-09-21,6.748
2022-09-21,11.221
2022-09-21,10.828
2022-09-21,0.025
2022-09-21,0.065
2022-09-21,0.125
2022-09-21,3.301
2022-09-21,0.038
2022-09-21,1.127
2022-09-21,3.888
2022-09-21,13.817
2022-09-21,4.046
2022-09-21,41.052
2022-09-21,6.658
2022-09-21,0.532
2022-09-21,10.229
2022-09-21,32.762
2022-09-21,3.478
2022-09-21,0.042
2022-09-21,0.049
2022-09-21,30.148
2022-09-21,4.901
2022-09-21,0.038
2022-09-21,0.036
2022-09-21,0.779
2022-09-21,0.003
2022-09-22,3.404
2022-09-22,15.225
2022-09-22,0.04
2022-09-22,5.405
2022-09-22,15.27
2022-09-22,5.746
2022-09-22,9.306
2022-09-22,0.426
2022-09-22,3.652
2022-09-22,4.369
2022-09-22,10.506
2022-09-22,0.468
2022-09-22,17.283
2022-09-22,5.508
2022-09-22,2.143
2022-09-22,0.007
2022-09-22,0.053
2022-09-22,0.025
2022-09-22,2.012
2022-09-22,4.044
2022-09-22,17.52
2022-09-22,1.747
2022-09-22,16.903
2022-09-22,0.074
2022-09-22,6.832
2022-09-22,0.024
2022-09-22,0.031
2022-09-22,0.013
2022-09-22,1.657
2022-09-22,0.156
2022-09-22,17.716
2022-09-22,4.758
2022-09-22,16.656
2022-09-22,17.619
2022-09-22,3.854
2022-09-22,0.188
2022-09-22,1.454
2022-09-22,0.055
2022-09-22,1.562
2022-09-22,1.383
2022-09-22,0.022
2022-09-22,0.006
2022-09-22,0.045
2022-09-22,0.052
2022-09-22,0.046
2022-09-22,1.769
2022-09-22,3.962
2022-09-22,0.303
2022-09-22,11.904
2022-09-22,1.153
2022-09-22,0.038
2022-09-23,3.853
2022-09-23,11.307
2022-09-23,0.083
2022-09-23,0.051
2022-09-23,8.176
2022-09-23,9.924
2022-09-23,2.303
2022-09-23,11.617
2022-09-23,1.053
2022-09-23,0.025
2022-09-23,0.04
2022-09-23,0.024
2022-09-23,0.052
2022-09-23,0.078
2022-09-23,5.199
2022-09-23,2.876
2022-09-23,1.129
2022-09-23,16.98
2022-09-23,0.05
2022-09-23,0.416
2022-09-23,0.012
2022-09-23,0.651
2022-09-23,7.463
2022-09-23,4.073
2022-09-23,13.092
2022-09-23,6.092
2022-09-23,8.128
2022-09-23,7.063
2022-09-23,0.01
2022-09-23,0.078
2022-09-23,1.875
2022-09-23,13.822
2022-09-23,2.983
2022-09-23,3.527
2022-09-23,0.448
2022-09-23,0.37
2022-09-23,0.072
2022-09-23,5.195
2022-09-23,0.02
2022-09-23,0.285
2022-09-23,0.071
2022-09-23,0.039
2022-09-23,1.597
2022-09-23,12.771
2022-09-23,4.537
2022-09-23,0.428
2022-09-23,0.577
2022-09-23,0.088
2022-09-23,0.176
2022-09-23,1.279
2022-09-23,32.896
2022-09-23,23.812
2022-09-23,2.641
2022-09-23,11.747
2022-09-23,0.421
2022-09-23,3.873
2022-09-23,2.642
2022-09-23,2.435
2022-09-23,2.037
2022-09-23,0.982
2022-09-24,1.923
2022-09-24,7.77
2022-09-24,0.02
2022-09-24,0.016
2022-09-24,0.322
2022-09-24,0.985
2022-09-24,0.029
2022-09-24,0.079
2022-09-24,0.088
2022-09-24,0.412
2022-09-24,0.021
2022-09-24,0.835
2022-09-24,0.017
2022-09-24,1.419
2022-09-24,1.99
2022-09-24,12.719
2022-09-24,6.311
2022-09-24,0.044
2022-09-24,3.768
2022-09-24,1.09
2022-09-24,1.395
2022-09-24,0.198
2022-09-24,9.689
2022-09-24,0.033
2022-09-24,7.97
2022-09-24,3.65
2022-09-24,0.012
2022-09-24,0.109
2022-09-24,0.048
2022-09-24,5.096
2022-09-24,3.486
2022-09-24,7.946
2022-09-24,17.066
2022-09-24,1.291
2022-09-24,6.114
2022-09-24,8.927
2022-09-24,2.302
2022-09-24,0.003
2022-09-24,0.029
2022-09-24,0.065
2022-09-24,5.158
2022-09-24,2.078
2022-09-24,0.251
2022-09-24,4.304
2022-09-24,13.066
2022-09-24,0.13
2022-09-24,1.799
2022-09-24,1.388
2022-09-24,3.151
2022-09-24,0.049
2022-09-24,2.444
2022-09-25,1.039
2022-09-25,0.064
2022-09-25,2.367
2022-09-25,7.411
2022-09-25,0.677
2022-09-25,0.137
2022-09-25,0.156
2022-09-25,1.209
2022-09-25,8.308
2022-09-25,0.091
2022-09-25,3.826
2022-09-25,3.14
2022-09-25,3.68
2022-09-25,0.054
2022-09-25,0.336
2022-09-25,0.361
2022-09-25,1.274
2022-09-25,0.035
2022-09-25,0.04
2022-09-25,2.164
2022-09-25,0.116
2022-09-25,2.607
2022-09-25,10.468
2022-09-25,0.045
2022-09-25,0.359
2022-09-25,0.046
2022-09-25,1.241
2022-09-25,10.129
2022-09-25,7.753
2022-09-25,26.906
2022-09-25,5.025
2022-09-25,30.632
2022-09-25,23.36
2022-09-25,22.99
2022-09-25,22.611
2022-09-25,11.035
2022-09-25,4.116
2022-09-25,0.319
2022-09-25,1.349
2022-09-25,8.077
2022-09-25,0.07
2022-09-25,0.003
2022-09-25,0.12
2022-09-25,2.613
2022-09-25,0.003
2022-09-25,3.155
2022-09-25,2.898
2022-09-25,7.374
2022-09-26,0.083
2022-09-26,0.038
2022-09-26,2.249
2022-09-26,1.475
2022-09-26,17.357
2022-09-26,23.572
2022-09-26,13.784
2022-09-26,1.658
2022-09-26,0.016
2022-09-26,20.191
2022-09-26,0.988
2022-09-26,0.137
2022-09-26,0.152
2022-09-26,3.814
2022-09-26,37.381
2022-09-26,41.094
2022-09-26,17.716
2022-09-26,0.213
2022-09-26,0.162
2022-09-26,0.1
2022-09-26,15.748
2022-09-26,5.542
2022-09-26,0.676
2022-09-26,0.098
2022-09-26,4.253
2022-09-26,2.794
2022-09-26,0.137
2022-09-26,1.185
2022-09-26,9.089
2022-09-26,5.442
2022-09-26,10.354
2022-09-26,11.263
2022-09-26,17.896
2022-09-26,4.56
2022-09-26,6.803
2022-09-26,8.882
2022-09-26,19.09
2022-09-26,1.438
2022-09-26,1.198
2022-09-26,9.905
2022-09-26,1.693
2022-09-26,0.034
2022-09-26,1.637
2022-09-26,0.176
2022-09-26,0.22
2022-09-26,0.46
2022-09-26,11.717
2022-09-26,3.718
2022-09-26,0.745
2022-09-26,3.31
2022-09-26,1.086
2022-09-26,0.072
2022-09-26,1.269
2022-09-26,3.475
2022-09-26,0.533
2022-09-26,1.781
2022-09-26,0.567
2022-09-26,8.276
2022-09-26,0.386
2022-09-26,0.178
2022-09-26,0.037
2022-09-26,0.07
2022-09-26,0.049
2022-09-26,0.038
2022-09-26,0.027
2022-09-27,0.011
2022-09-27,3.367
2022-09-27,0.248
2022-09-27,7.498
2022-09-27,14.927
2022-09-27,0.909
2022-09-27,2.027
2022-09-27,0.053
2022-09-27,0.038
2022-09-27,18.168
2022-09-27,23.753
2022-09-27,23.602
2022-09-27,23.602
2022-09-27,3.454
2022-09-27,0.279
2022-09-27,0.709
2022-09-27,0.068
2022-09-27,2.938
2022-09-27,4.094
2022-09-27,3.015
2022-09-27,0.025
2022-09-27,3.532
2022-09-27,5.815
2022-09-27,17.731
2022-09-27,3.776
2022-09-27,4.944
2022-09-27,2.675
2022-09-27,22.329
2022-09-27,45.277
2022-09-27,18.858
2022-09-27,6.691
2022-09-27,38.213
2022-09-27,8.804
2022-09-27,25.221
2022-09-27,1.868
2022-09-27,4.202
2022-09-27,0.041
2022-09-27,0.035
2022-09-27,0.271
2022-09-27,0.505
2022-09-27,1.087
2022-09-27,0.738
2022-09-27,0.03
2022-09-27,10.955
2022-09-27,0.025
2022-09-27,0.038
2022-09-27,0.091
2022-09-27,0.192
2022-09-28,0.575
2022-09-28,0.197
2022-09-28,2.299
2022-09-28,0.32
2022-09-28,0.304
2022-09-28,8.451
2022-09-28,1.511
2022-09-28,22.261
2022-09-28,22.524
2022-09-28,20.162
2022-09-28,15.564
2022-09-28,0.19
2022-09-28,0.038
2022-09-28,0.336
2022-09-28,0.082
2022-09-28,0.04
2022-09-28,1.09
2022-09-28,10.43
2022-09-28,3.556
2022-09-28,0.663
2022-09-28,0.258
2022-09-28,0.44
2022-09-28,0.68
2022-09-28,0.147
2022-09-28,0.058
2022-09-28,0.14
2022-09-28,11.219
2022-09-28,9.55
2022-09-28,0.043
2022-09-28,4.394
2022-09-28,0.359
2022-09-28,0.475
2022-09-28,0.452
2022-09-28,13.01
2022-09-28,0.038
2022-09-28,1.023
2022-09-28,5.421
2022-09-28,0.063
2022-09-28,0.601
2022-09-28,4.006
2022-09-28,4.159
2022-09-28,1.858
2022-09-28,0.85
2022-09-28,1.937
2022-09-28,8.765
2022-09-28,0.025
2022-09-28,0.043
